房号：2203,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12120元/平方米(按建筑面积计),楼层,22,房号,2203,用途,住宅,建筑面积,79.58平方米,户内面积,60.58平方米,分摊面积,19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2204,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12120元/平方米(按建筑面积计),楼层,22,房号,2204,用途,住宅,建筑面积,71.8平方米,户内面积,54.65平方米,分摊面积,17.15平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2101,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12120元/平方米(按建筑面积计),楼层,21,房号,2101,用途,住宅,建筑面积,170.46平方米,户内面积,130.88平方米,分摊面积,39.58平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2102,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12120元/平方米(按建筑面积计),楼层,21,房号,2102,用途,住宅,建筑面积,168.79平方米,户内面积,129.66平方米,分摊面积,39.13平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2103,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12320元/平方米(按建筑面积计),楼层,21,房号,2103,用途,住宅,建筑面积,78.61平方米,户内面积,60.58平方米,分摊面积,18.03平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2104,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12320元/平方米(按建筑面积计),楼层,21,房号,2104,用途,住宅,建筑面积,70.92平方米,户内面积,54.65平方米,分摊面积,16.27平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2001,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11750元/平方米(按建筑面积计),楼层,20,房号,2001,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2002,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12320元/平方米(按建筑面积计),楼层,20,房号,2002,用途,住宅,建筑面积,130.23平方米,户内面积,100.41平方米,分摊面积,29.82平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2003,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12320元/平方米(按建筑面积计),楼层,20,房号,2003,用途,住宅,建筑面积,78.57平方米,户内面积,60.58平方米,分摊面积,17.99平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：2004,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12320元/平方米(按建筑面积计),楼层,20,房号,2004,用途,住宅,建筑面积,70.88平方米,户内面积,54.65平方米,分摊面积,16.23平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1901,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11730元/平方米(按建筑面积计),楼层,19,房号,1901,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1902,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12300元/平方米(按建筑面积计),楼层,19,房号,1902,用途,住宅,建筑面积,130.23平方米,户内面积,100.41平方米,分摊面积,29.82平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1903,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12300元/平方米(按建筑面积计),楼层,19,房号,1903,用途,住宅,建筑面积,78.57平方米,户内面积,60.58平方米,分摊面积,17.99平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1904,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12300元/平方米(按建筑面积计),楼层,19,房号,1904,用途,住宅,建筑面积,70.88平方米,户内面积,54.65平方米,分摊面积,16.23平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1801,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11700元/平方米(按建筑面积计),楼层,18,房号,1801,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1802,项目楼栋情况,辉煌花园10栋,座号,--,合同号,深(深汕)网预买字(2020)472号,拟售价格,--元/平方米(按建筑面积计),楼层,18,房号,1802,用途,住宅,建筑面积,130.23平方米,户内面积,100.41平方米,分摊面积,29.82平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1803,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12270元/平方米(按建筑面积计),楼层,18,房号,1803,用途,住宅,建筑面积,78.57平方米,户内面积,60.58平方米,分摊面积,17.99平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1804,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12270元/平方米(按建筑面积计),楼层,18,房号,1804,用途,住宅,建筑面积,70.88平方米,户内面积,54.65平方米,分摊面积,16.23平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1701,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11670元/平方米(按建筑面积计),楼层,17,房号,1701,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1702,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12240元/平方米(按建筑面积计),楼层,17,房号,1702,用途,住宅,建筑面积,130.23平方米,户内面积,100.41平方米,分摊面积,29.82平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1703,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,12240元/平方米(按建筑面积计),楼层,17,房号,1703,用途,住宅,建筑面积,78.57平方米,户内面积,60.58平方米,分摊面积,17.99平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1704,项目楼栋情况,辉煌花园10栋,座号,--,合同号,深(深汕)网预买字(2020)483号,拟售价格,--元/平方米(按建筑面积计),楼层,17,房号,1704,用途,住宅,建筑面积,70.88平方米,户内面积,54.65平方米,分摊面积,16.23平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1601,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,10620元/平方米(按建筑面积计),楼层,16,房号,1601,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1602,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11190元/平方米(按建筑面积计),楼层,16,房号,1602,用途,住宅,建筑面积,130.23平方米,户内面积,100.41平方米,分摊面积,29.82平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1603,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11190元/平方米(按建筑面积计),楼层,16,房号,1603,用途,住宅,建筑面积,78.57平方米,户内面积,60.58平方米,分摊面积,17.99平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1604,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11190元/平方米(按建筑面积计),楼层,16,房号,1604,用途,住宅,建筑面积,70.88平方米,户内面积,54.65平方米,分摊面积,16.23平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：1501,项目楼栋情况,辉煌花园10栋,座号,--,合同号,--,拟售价格,11600元/平方米(按建筑面积计),楼层,15,房号,1501,用途,住宅,建筑面积,124.97平方米,户内面积,96.36平方米,分摊面积,28.61平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
