房号：30A,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,52949元/平方米(按建筑面积计),楼层,30,房号,30A,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：30B,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,52599元/平方米(按建筑面积计),楼层,30,房号,30B,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：30C,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,52152元/平方米(按建筑面积计),楼层,30,房号,30C,用途,住宅,建筑面积,88.05平方米,户内面积,69.15平方米,分摊面积,18.9平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：30D,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,52152元/平方米(按建筑面积计),楼层,30,房号,30D,用途,住宅,建筑面积,88.05平方米,户内面积,69.15平方米,分摊面积,18.9平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：29A,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,54149元/平方米(按建筑面积计),楼层,29,房号,29A,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：29B,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,53799元/平方米(按建筑面积计),楼层,29,房号,29B,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：29C,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,53352元/平方米(按建筑面积计),楼层,29,房号,29C,用途,住宅,建筑面积,88.05平方米,户内面积,69.15平方米,分摊面积,18.9平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：29D,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,53352元/平方米(按建筑面积计),楼层,29,房号,29D,用途,住宅,建筑面积,88.05平方米,户内面积,69.15平方米,分摊面积,18.9平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：28A,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,54109元/平方米(按建筑面积计),楼层,28,房号,28A,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
房号：28B,项目楼栋情况,颐安都会中央花园（五区）5栋,座号,D,合同号,--,拟售价格,53759元/平方米(按建筑面积计),楼层,28,房号,28B,用途,住宅,建筑面积,108.01平方米,户内面积,84.82平方米,分摊面积,23.19平方米,户内面积,--平方米,分摊面积,--平方米,建筑面积,--平方米
